0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
1300	EXP031830	Mus musculus	1.1.8.1.1	Sc-61	168 hours after partial hepatectomy	C57BL6/J	PEAKS036132	C/EBP&#945;	EXP031822	IgG	GEO:GSM1037664,GEO:GSE42321,PUBMED:23403033	P53566	CEBPA_MOUSE	GEO:GSM1037681,GEO:GSE42321,PUBMED:23403033	45815	5660	36164	20806	364
1301	EXP000665	Mus musculus	2.6.1.0.3	tet1	tet1_mut1	mouse embryonic stem (MES) cells	PEAKS035404	TET1 (CXXC6, LCX)	EXP000668	input	GEO:GSM706670,GEO:GSE28532,PUBMED:21514197	Q3URK3	TET1_MOUSE	GEO:GSM706673,GEO:GSE28532,PUBMED:21514197	944	965	682	0	2
1302	EXP031262	Mus musculus	3.1.2.16.1	anti-Nkx3.1 (Santa Cruz Biotechnology, sc-15022)		Recombinant inbred B6 x 129	PEAKS035840	NKX-3.1 (NKX3-1, NKX3A)			GEO:GSM878195,GEO:GSM878196,GEO:GSE35971,PUBMED:22484818	P97436	NKX31_MOUSE		42079		53268	53268	71123
1303	EXP031328	Mus musculus	6.2.1.0.3	Bethyl A302-406A	LPS, 30 min	bone marrow-derived dendritic cells	PEAKS035901	STAT3	EXP031269	none	GEO:GSM881120,GEO:GSE36099,PUBMED:22940246	P42227	STAT3_MOUSE	GEO:GSM881124,GEO:GSE36099,PUBMED:22940246	72	774	1090	1077	66377
1304	EXP031744	Homo sapiens	1.2.6.5.1	cMyc		H128	PEAKS034846	c-Myc	EXP031741	None	GEO:GSM1008619,GEO:GSE41105	P01106	MYC_HUMAN	GEO:GSM1008616,GEO:GSE41105	780	929	4896	79	24
1305	EXP030453	Mus musculus	6.1.5.0.1	Ebf1 (custom-made against murine Ebf1b)		C57BL/6, splenic B cells	PEAKS035549	EBF1 (COE1)	EXP030452		GEO:GSM877317,GEO:GSE35910,PUBMED:22431510	Q07802	COE1_MOUSE	GEO:GSM877318,GEO:GSE35910,PUBMED:22431510	2461	2471	7569	3121	
1306	EXP031837	Mus musculus	1.1.8.1.2	Sc-150	48 hours after partial hepatectomy	C57BL6/J	PEAKS036139	C/EBP&#946; (NF-IL6-1)	EXP031822	IgG	GEO:GSM1037671,GEO:GSE42321,PUBMED:23403033	P28033	CEBPB_MOUSE	GEO:GSM1037681,GEO:GSE42321,PUBMED:23403033	38231	3600	28386	12144	60
1307	EXP030918	Mus musculus	1.2.2.1.1	myod		myoblasts	PEAKS035689	MyoD	EXP030912		GEO:GSM611277,GEO:GSE24852,PUBMED:22771117	P10085	MYOD1_MOUSE	GEO:GSM611281,GEO:GSE24852,PUBMED:22771117	515	847	1052	0	19
1308	EXP000469	Mus musculus	6.2.1.0.1	anti-STAT1? (santa cruz: sc-417)	IFN? for 6 hour	Bone marrow macrophages ikk-/-	PEAKS035281	STAT1	EXP000470	input	GEO:GSM838691,GEO:GSE33913,PUBMED:22171011	P42225	STAT1_MOUSE	GEO:GSM838692,GEO:GSE33913,PUBMED:22171011	42600	21183	38597	38578	37063
1309	EXP032717	Mus musculus	1.2.6.3.1	SREBP1	ZT14	C57/BL6	PEAKS036522	SREBP-1	EXP032711	none	GEO:GSM1176712,GEO:GSE48375,PUBMED:24603613	Q9WTN3	SRBP1_MOUSE	GEO:GSM1176718,GEO:GSE48375,PUBMED:24603613	7704	7150	40513	40513	12889
1310	EXP032414	Homo sapiens	2.2.1.1.6	GATA6		HuG-1	PEAKS034999	GATA-6	EXP032412	IgG	GEO:GSM1255513,GEO:GSE51936	Q92908	GATA6_HUMAN	GEO:GSM1255514,GEO:GSE51936	3187	2744	2958	0	4
1311	EXP032359	Mus musculus	2.6.1.0.7	anti-MLL4		MyoD-induced immortalized brown preadipocytes	PEAKS036377	MLL2 (HRX2, KMT2D, WBP7, MLL4, TRX2)	EXP032351	none	GEO:GSM1219692,GEO:GSE50465	O08550	KMT2B_MOUSE	GEO:GSM1219708,GEO:GSE50465	5702	3683	11665	7670	1
1312	EXP010222	Homo sapiens	3.3.2.1.1	E2F1	None	HeLa-S3	PEAKS033540	E2F-1	EXP010027	Input	GEO:GSM935484	Q01094	E2F1_HUMAN	GEO:GSM817342	4371	1535	6109	0	12
1313	EXP031395	Homo sapiens	1.2.6.5.5	Santa Cruz SC-197	DMSO	Plasma cell	PEAKS034743	Max	EXP031386	None	GEO:GSM894085,GEO:GSE36354,PUBMED:23021215	P61244	MAX_HUMAN	PUBMED:23021215,GEO:GSE36354,GEO:GSM894087,GEO:GSM894110	1844	904	5726	1331	340
1314	EXP010395	Homo sapiens	2.3.3.50.1	CTCF	None	GM12872	PEAKS033634	CTCF [11]	EXP010629	Input	GEO:GSM749692,GEO:GSM1022633,GEO:GSM749694	P49711	CTCF_HUMAN	GEO:GSM749765	52453	3470	46198	46198	7684
1315	EXP032540	Mus musculus	3.5.2.2.2	anti-Net 1996		NIH3T3 fibroblasts	PEAKS036467	Elk-3 (SAP-2)	EXP032526	none	GEO:GSM1118323,GEO:GSE45888,PUBMED:24732378	P41971	ELK3_MOUSE	GEO:GSM1118353,GEO:GSE45888,PUBMED:24732378	708	0	30	0	1
1316	EXP030499	Homo sapiens	2.1.1.1.1	GR (BuGr2, Millipore and Mab-010-050, Diagenode)	100 nM DEX	VCaP	PEAKS034496	Glucocorticoid receptor (GR) (NR3C1)	EXP030494	rIgG (sc-2027, SantaCruz)	GEO:GSM980660,GEO:GSE39879,PUBMED:23269278	P04150	GCR_HUMAN	GEO:GSM980659,GEO:GSE39879,PUBMED:23269278	12076	8467	28280	17150	2248
1317	EXP030506	Homo sapiens	2.1.1.1.4	AR (Kang et al. 2004; Sahu et al. 2011)	1000 nM RU486	LNCaP-1F5 cells	PEAKS034503	Androgen receptor (AR) (NR3C4)	EXP030492	rabbit IgG	GEO:GSM980650,GEO:GSE39879,PUBMED:23269278,GEO:GSM980649	P10275	ANDR_HUMAN	GEO:GSM759671,GEO:GSE39879,PUBMED:23269278	1323	792	1204	0	1
1318	EXP030603	Mus musculus	3.1.3.19.2	Anti-FLAG M2 Affinity Gel (Sigma)		whole heart	PEAKS035600	PITX-2 (ARP, RGS, RIEG1)	EXP030602	none (input)	GEO:GSM1162577,GEO:GSE47928	P97474	PITX2_MOUSE	GEO:GSM1162578,GEO:GSE47928	76	48	953	1	
1319	EXP030546	Mus musculus	1.1.8.1.2	Cebpa: Santa Cruz 14-AA		myeloid progenitor cells	PEAKS035572	C/EBP&#946; (NF-IL6-1)			GEO:GSM1187163,GEO:GSM1187164,GEO:GSE43007	P28033	CEBPB_MOUSE		42673	686918	70804	70804	984732
1320	EXP032980	Mus musculus	3.1.10.5.1	anti-Oct4		embryonic stem cells (ESC)	PEAKS036639	POU5F1 (Oct-3, Oct-4, OTF-3)	EXP032973	none	GEO:GSM1355180,GEO:GSE56098	P20263	PO5F1_MOUSE	GEO:GSM1355178,GEO:GSE56098		18231	28230	19553	5182
1321	EXP032839	Homo sapiens	2.1.1.2.1	ER? (Santa Cruz Biotechnology; sc-534X, sc-7207X)	siCtrl	MCF-7	PEAKS035117	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP032838	Rabbit Control IgG ChIP Grade ab46540	GEO:GSM1295590,GEO:GSE53531,PUBMED:24639548	P03372	ESR1_HUMAN	GEO:GSM1295592,GEO:GSE53531,PUBMED:24639548	5293	3937	8586	8586	2124
1322	EXP031982	Homo sapiens	4.1.3.0.3	tcf7l2		MDA-MB-453	PEAKS034906	TCF-7L2 (TCF-4) [1]	EXP031977		GEO:GSM1099033,GEO:GSE45201,PUBMED:23530127	Q9NQB0	TF7L2_HUMAN	GEO:GSM1099034,GEO:GSE45201,PUBMED:23530127	15764	4139	15033	510	
1323	EXP031243	Mus musculus	4.1.1.2.2	R & D Systems (R&D), AF2018		Day2 differentiating rtta ESCs	PEAKS035824	SOX-2	EXP031235	none	GEO:GSM1050298,GEO:GSE35496	P48432	SOX2_MOUSE	GEO:GSM1050299,GEO:GSE35496	1342	1725	7814	7760	
1324	EXP010722	Homo sapiens	1.2.6.2.2	USF2	None	K562	PEAKS033803	USF-2	EXP010530	Input	GEO:GSM935356	Q15853	USF2_HUMAN	GEO:GSM935618	3181	2601	5645	4154	45
1325	EXP031934	Homo sapiens	2.3.3.22.2	Bcl-6 Antibody (N-3)		OCI-Ly7 lymphoma cells	PEAKS034890	BCL6 [6] (LAZ3, ZBTB27, ZNF51)	EXP031932		GEO:GSM1084801,GEO:GSE44420,PUBMED:24277074,PUBMED:23852341	P41182	BCL6_HUMAN	GEO:GSM1084802,GEO:GSE44420,PUBMED:24277074,PUBMED:23852341	6379	12389	19946	19946	11345
1326	EXP031118	Homo sapiens	3.7.1.6.2	A custom antibody		K562 erythrocytic leukaemia cells (ATCC CCL-243)	PEAKS034700	JARID1B (KDM5B, PLU1, RBBP2H1)	EXP031108	None	GEO:GSE32509,GEO:GSM831010,GEO:GSM831011,PUBMED:22196736	Q9UGL1	KDM5B_HUMAN	GEO:GSE32509,GEO:GSM831022,GEO:GSM831023,GEO:GSM831024,PUBMED:22196736	20296	2230	25180	23973	4197
1327	EXP031185	Homo sapiens	2.3.4.8.2	Anti-FLAG M2		HeLa-S3	PEAKS034723	VEZF1 [1+5] (DB1, ZNF161)	EXP031184		GEO:GSM866197,PUBMED:22308494,GEO:GSE34785,GEO:GSM866196	Q14119	VEZF1_HUMAN	GEO:GSM866199,PUBMED:22308494,GEO:GSE34785,GEO:GSM866200	49	11	736	0	1
1328	EXP000389	Mus musculus	6.2.1.0.5	STAT5A	IL-2	C57BL/6, T cell	PEAKS035184	STAT5A			GEO:GSM671392,GEO:GSE27158,PUBMED:21516110	P42230	STA5A_MOUSE		1993	264	6372	6372	24
1329	EXP000340	Mus musculus	6.4.1.0.2	runx1		Early haematopoietic cell line derived from ES cells	PEAKS035269	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)	EXP000335	IgG	GEO:GSM552241,GEO:GSE22178,PUBMED:20887958	Q03347	RUNX1_MOUSE	GEO:GSM552236,GEO:GSE22178,PUBMED:20887958	3483	4736	8351	2951	403
1330	EXP000217	Mus musculus	3.5.1.1.1	ER Ab-10	activated MYB	Conditional Myb transformed myeloid cell line	PEAKS035335	c-Myb	EXP000214	IgG	GEO:GSM549341,GEO:GSE22095,GEO:GSM549337,GEO:GSM549339,PUBMED:21317192	P06876	MYB_MOUSE	GEO:GSM549334,GEO:GSE22095,PUBMED:21317192	6928	2842	4144	3816	359
1331	EXP031560	Mus musculus	3.5.2.5.1	rabbit anti-PU.1 antibody (sc-352, Santa Cruz)	MSCV-IRF8 transduced	Myeloid progenitor cells	PEAKS036018	PU.1 (Spi-1)	EXP031558		GEO:GSM1031977,GEO:GSE38824,PUBMED:23319570	P17433	SPI1_MOUSE	GEO:GSM950323,GEO:GSE38824,PUBMED:23319570	155511	18997	153552	153552	89365
1332	EXP010733	Homo sapiens	3.1.4.4.3	Pbx3	None	GM12878	PEAKS033808	PBX-3	EXP010581	RevXlinkChromatin	GEO:GSM803532	P40426	PBX3_HUMAN	GEO:GSM803351	9681	12864	32427	32427	252939
1333	EXP000486	Mus musculus	1.2.6.5.1	custom made against c-Myc		Embryonic stem cells	PEAKS035191	c-Myc	EXP000488	sc-8334	GEO:GSM288356,GEO:GSE11431,PUBMED:18555785	P01108	MYC_MOUSE	GEO:GSM288358,GEO:GSE11431,PUBMED:18555785	2970	4177	3312	954	231
1334	EXP010576	Mus musculus	1.2.2.1.2	Myogenin_(sc-12732)	EqS_2.0pct_24hr	C2C12	PEAKS036746	Myogenin (Myf-4)	EXP010859	Input	GEO:GSM915159	P12979	MYOG_MOUSE	GEO:GSM918418,GEO:GSM915169	52740	36598	69759	69759	90365
1335	EXP031254	Mus musculus	1.1.6.0.1	anti-ATF4	Tunicamycin	Mouse embryonic fibroblast	PEAKS035834	ATF-4			GEO:GSM873426,GEO:GSE35681,PUBMED:23624402	Q06507	ATF4_MOUSE		19782	28164	29486	29486	58771
1336	EXP032946	Mus musculus	3.3.1.16.3	Foxp3		Primary Mouse T cells isolated ex-vivo and sorted	PEAKS036621	FOXP3	EXP032945	None	GEO:GSM1345913,GEO:GSM1345912,GEO:GSM1345911,GEO:GSM1345910,GEO:GSE55773,GEO:GSM1345909	Q99JB6	FOXP3_MOUSE	GEO:GSM1345914,GEO:GSE55773	5579	64	1238	0	
1337	EXP031833	Mus musculus	1.1.8.1.2	Sc-150	8 hours after partial hepatectomy	C57BL6/J	PEAKS036135	C/EBP&#946; (NF-IL6-1)	EXP031822	IgG	GEO:GSM1037667,GEO:GSE42321,PUBMED:23403033	P28033	CEBPB_MOUSE	GEO:GSM1037681,GEO:GSE42321,PUBMED:23403033	69966	4676	46715	25782	99
1338	EXP010040	Homo sapiens	1.1.1.1.1	c-Jun	IFNa6h	K562	PEAKS033441	c-Jun	EXP010418	Input	GEO:GSM935468	P05412	JUN_HUMAN	GEO:GSM935419	4045	1818	6631	3931	826
1339	EXP010709	Mus musculus	2.3.3.50.1	CTCF	None	C2C12	PEAKS036760	CTCF [11]	EXP010882	Input	GEO:GSM915188	Q61164	CTCF_MOUSE	GEO:GSM918419,GEO:GSM915170	30712	25206	33372	33372	60016
1340	EXP010335	Homo sapiens	2.3.3.50.1	CTCF	None	Osteobl	PEAKS033602	CTCF [11]	EXP010718	Input	GEO:GSM733784	P49711	CTCF_HUMAN	GEO:GSM733697	62114	23503	65917	65917	60258
1341	EXP000092	Mus musculus	6.2.1.0.5	mixture of STAT5a (PA-ST5A: R&D) and STAT5b (PA-ST5B: R&D) antibodies, 2 ul each per IP		in vitro polarized T helper17 cells	PEAKS035449	STAT5A			GEO:GSM652878,GEO:GSE26552,PUBMED:21278738	P42230	STA5A_MOUSE		87680	152973	81322	81322	89910
1342	EXP010391	Homo sapiens	4.1.3.0.5	TAF1	None	SK-N-SH	PEAKS033630	TAF-1 (TAF-2A, TAF(II)250) [1]	EXP010505	RevXlinkChromatin	GEO:GSM1010773	P21675	TAF1_HUMAN	GEO:GSM1010798	17198	6550	29875	23092	
1343	EXP030533	Mus musculus	2.3.3.50.1	Millipore 07-729		C57BL/6, Rag1 -/- CD4-CD8- (DN) thymocytes	PEAKS035567	CTCF [11]	EXP030532		GEO:GSM1023416,GEO:GSE41739,PUBMED:23169622	Q61164	CTCF_MOUSE	GEO:GSM1023417,GEO:GSE41739,PUBMED:23169622	34618	13803	34797	34759	22160
1344	EXP031532	Mus musculus	6.2.1.0.1	Santa Cruz Biotechnology, sc-592	IFNg (100 ng/ml) for 1hrs	bone marrow-derived macrophages (7th day of differentiation)	PEAKS036009	STAT1			GEO:GSM1022316,GEO:GSE38377,PUBMED:23332752	P42225	STAT1_MOUSE		14109	77462	19285	19285	43201
1345	EXP010749	Homo sapiens	8.1.1.0.1	TBP	None	HepG2	PEAKS033817	TBP	EXP010255	Input	GEO:GSM935280	P20226	TBP_HUMAN	GEO:GSM935604	14982	11165	29646	11725	518
1346	EXP000354	Homo sapiens	3.5.2.1.5	FLI1		megakaryocytes cultured from cord blood CD34-positive cells	PEAKS033228	Fli-1	EXP000356	Rabbit-IgG	GEO:GSM607952,GEO:GSE24674,PUBMED:21571218	Q01543	FLI1_HUMAN	GEO:GSM607954,GEO:GSE24674,PUBMED:21571218	4655	4082	8459	5174	1599
1347	EXP000277	Mus musculus	2.3.3.50.1	anti-CTCF		in vitro activated mouse B cells	PEAKS035195	CTCF [11]			GEO:GSM836458,GEO:GSE33819,PUBMED:21113164	Q61164	CTCF_MOUSE		64859	88561	78306	78306	61422
1348	EXP032966	Mus musculus	2.1.2.6.3	anti-RORgamma	Digoxin (10uM)	Th17 cells	PEAKS036630	ROR&#947; (NR1F3)	EXP032959	IgG2a	GEO:GSM1350480,GEO:GSE56019	P51450	RORG_MOUSE	GEO:GSM1350475,GEO:GSE56019	234		1195	336	11
1349	EXP030401	Homo sapiens	2.3.3.50.1	CTCF		HMEC	PEAKS034459	CTCF [11]	EXP030392	none	GEO:GSE26320,GEO:GSM646373,PUBMED:21441907,GEO:GSM646372	P49711	CTCF_HUMAN	GEO:GSM646390,GEO:GSE26320,GEO:GSM646391,PUBMED:21441907	42526	14629	47963	47950	29966
1350	EXP010272	Homo sapiens	2.3.3.50.1	CTCF	None	AG09309	PEAKS033565	CTCF [11]	EXP010819	Input	GEO:GSM749750,GEO:GSM749680	P49711	CTCF_HUMAN	GEO:GSM749718,GEO:GSM945167	48349	2652	40270	40270	13325
1351	EXP032291	Mus musculus	3.5.3.0.4	anti-IRF4	anti-CD3, anti-CD28 and recombinant hIL-2	CD8+ T cells	PEAKS036335	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	EXP032290		GEO:GSM1210225,GEO:GSE49930,PUBMED:24056747	Q64287	IRF4_MOUSE	GEO:GSM1210226,GEO:GSE49930,PUBMED:24056747	2227	2277	3309	1409	90
1352	EXP010572	Homo sapiens	1.1.8.1.2	CEBPB_(SC-150)	None	HepG2	PEAKS033729	C/EBP&#946; (NF-IL6-1)	EXP010228	RevXlinkChromatin	GEO:GSM1010778	P17676	CEBPB_HUMAN	GEO:GSM803463	28602	13643	60213	60213	22432
1353	EXP010179	Homo sapiens	3.2.2.2.2	PAX5-N19	None	GM12878	PEAKS033510	Pax-5	EXP010375	RevXlinkChromatin	GEO:GSM803362	Q02548	PAX5_HUMAN	GEO:GSM803351	14630	12756	35448	35448	20900
1354	EXP000359	Mus musculus	2.3.3.0.35	FLAG and HA		mESCs	PEAKS035333	PRDM14 [6]	EXP000360	FLAG and HA	GEO:GSM623989,GEO:GSE25409,PUBMED:21183938	E9Q3T6	PRD14_MOUSE	GEO:GSM623990,GEO:GSE25409,PUBMED:21183938	62625	7858	52557	52557	8876
1355	EXP011180	Mus musculus	1.2.6.2.2	USF2	None	MEL	PEAKS036800	USF-2	EXP010644	Input	GEO:GSM1003785	Q64705	USF2_MOUSE	GEO:GSM912905	3155	1741	2637	0	1
1356	EXP010296	Homo sapiens	2.3.4.0.27	NRSF	None	U87	PEAKS033574	REST [1+7+1] (NRSF, XBR)	EXP010737	RevXlinkChromatin	GEO:GSM803372	Q13127	REST_HUMAN	GEO:GSM803375	3098	3471	5287	2760	1413
1357	EXP010500	Homo sapiens	2.3.3.50.1	CTCF	None	AoAF	PEAKS033696	CTCF [11]	EXP010921	Input	GEO:GSM749666,GEO:GSM749736	P49711	CTCF_HUMAN	GEO:GSM945164,GEO:GSM749772	51022	10045	52816	52816	16021
1358	EXP031641	Mus musculus	1.1.1.1.1	cJUN (Abcam, ab31419, GR30-33)		CD4+ T Cells	PEAKS036033	c-Jun	EXP031633	Rabbit IgG (R&D, AB-105-C, ER11)	GEO:GSM978754,GEO:GSE39756,PUBMED:22992523	P05627	JUN_MOUSE	GEO:GSM978749,GEO:GSE39756,PUBMED:22992523	1057	606	436	0	13
1359	EXP031651	Mus musculus	3.5.3.0.4	IRF4 (Santa Cruz, sc-6059, k1209)	BATFKO	CD4+ T Cells	PEAKS036043	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	EXP031633	Rabbit IgG (R&D, AB-105-C, ER11)	GEO:GSM978764,GEO:GSE39756,PUBMED:22992523	Q64287	IRF4_MOUSE	GEO:GSM978749,GEO:GSE39756,PUBMED:22992523	6559	5212	27503	27008	25
1360	EXP032296	Homo sapiens	1.1.5.0.1	XBP1 (Biolegend, 619502)	hypoxia and glucose deprivation	T47D	PEAKS034979	XBP-1	EXP032293	none	GEO:GSM1276191,GEO:GSE49952,GEO:GSM1239667	P17861	XBP1_HUMAN	GEO:GSM1239668,GEO:GSE49952	16218	5260	3695	0	40
1361	EXP032062	Mus musculus	2.1.1.2.1	ER	Estradiol for 30 minutes	mouse mammary cells (express GFP-GR, Cherry-ER, and Afos under a tet regulated promoter)	PEAKS036229	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP032044		GEO:GSE46123,PUBMED:23803465,GEO:GSM1124003,GEO:GSM1124002	P19785	ESR1_MOUSE	GEO:GSM1124006,GEO:GSE46123,PUBMED:23803465	7814	4458	6629	3003	
1362	EXP030865	Mus musculus	3.1.5.3.1	LHX2		CD-1	PEAKS035668	Lhx2 (LH-2)	EXP030862	none	GEO:GSM1167212,GEO:GSE48068,PUBMED:24012369	Q9Z0S2	LHX2_MOUSE	GEO:GSM1167211,GEO:GSE48068,PUBMED:24012369	1191	3594	3481	1064	
1363	EXP031098	Mus musculus	6.2.1.0.3	anti-STAT3 (Santa Cruz sc-482)	Il10	Adherent peritoneal exudate macrophages	PEAKS035765	STAT3	EXP031096	None	GEO:GSM782664,GEO:GSE31529,PUBMED:22323479	P42227	STAT3_MOUSE	GEO:GSM782666,GEO:GSE31529,PUBMED:22323479	11	4360	828	517	122
1364	EXP010966	Homo sapiens	3.7.1.6.2	PLU1	None	H1-hESC	PEAKS033855	JARID1B (KDM5B, PLU1, RBBP2H1)	EXP010775	Input	GEO:GSM1003457	Q9UGL1	KDM5B_HUMAN	GEO:GSM733770	352	100	1789	0	10
1365	EXP031040	Mus musculus	2.3.3.50.1	CTCF		Mouse testis	PEAKS035742	CTCF [11]	EXP031020	None	GEO:GSM851322,GEO:GSE29218,PUBMED:22763441	Q61164	CTCF_MOUSE	GEO:GSM851327,GEO:GSE29218,PUBMED:22763441	27672	9073	27657	27591	660
1366	EXP030905	Homo sapiens	6.4.1.0.2	RUNX1		SKNO-1 (leukemic)	PEAKS034650	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)			GEO:GSM726978,GEO:GSE23730,PUBMED:22983443	Q01196	RUNX1_HUMAN		60787	123697	48274	48274	80884
1367	EXP011125	Homo sapiens	2.3.3.50.1	CTCF		GM10266	PEAKS033977	CTCF [11]	EXP010886	Input	GEO:GSM1006870	P49711	CTCF_HUMAN	GEO:GSM1006890	44358	4190	33488	31995	0
1368	EXP030721	Mus musculus	2.3.4.0.2	A300-797A		lateral telencephalon	PEAKS035629	ZNF335 [1+8+4] (NIF-1)	EXP030720	none	GEO:GSM892256,GEO:GSE36385,PUBMED:23178126	A2A5K6	ZN335_MOUSE	GEO:GSM892258,GEO:GSE36385,PUBMED:23178126	502		1785	3	
1369	EXP031689	Mus musculus	6.4.1.0.2	Anti-HA	dox	differentiating murine hematopoietic cells	PEAKS036064	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)	EXP031687	none	GEO:GSM989014,GEO:GSE40235,PUBMED:23064151	Q03347	RUNX1_MOUSE	GEO:GSM989012,GEO:GSE40235,PUBMED:23064151	38548	358	13541	13105	
1370	EXP011147	Homo sapiens	1.1.2.1.3	FOSL1_(SC-183)	None	HCT-116	PEAKS033996	Fra-1	EXP010899	RevXlinkChromatin	GEO:GSM1010756	P15407	FOSL1_HUMAN	GEO:GSM1010872	24564	12807	26455	14988	4377
1371	EXP030466	Mus musculus	3.2.2.2.2	Dynabeads M-280 Streptavidin (Invitrogen)		mix C57BL/6 and 129	PEAKS035557	Pax-5	EXP030462	Dynabeads M-280 Streptavidin (Invitrogen)	GEO:GSE38046,GEO:GSM932930,PUBMED:22669466,GEO:GSM932931	Q02650	PAX5_MOUSE	GEO:GSE38046,GEO:GSM932933,PUBMED:22669466,GEO:GSM932932	21218	598	4814	3448	3
1372	EXP010203	Homo sapiens	2.3.3.50.1	CTCF	None	HCFaa	PEAKS033529	CTCF [11]	EXP010877	Input	GEO:GSM749732	P49711	CTCF_HUMAN	GEO:GSM945307,GEO:GSM749761	52440	19944	62590	62590	47536
1373	EXP001024	Homo sapiens	1.2.6.5.1	cMYC		FB8470	PEAKS033167	c-Myc	EXP001018	input	PUBMED:22090374,GEO:GSE32692,GEO:GSM808762,GEO:GSM808761	P01106	MYC_HUMAN	GEO:GSM808763,GEO:GSE32692,PUBMED:22090374	1379	43917	14796	14796	73329
1374	EXP010406	Homo sapiens	0.0.6.0.1	Nrf1	None	GM12878	PEAKS033639	NRF-1 (&#945;-pal)	EXP010745	Input	GEO:GSM935309	Q16656	NRF1_HUMAN	GEO:GSM935390	5927	2786	4799	2955	52
1375	EXP032271	Homo sapiens	2.3.4.0.27	anti-NRSF/REST		H295R/TR SF-1 cells	PEAKS034970	REST [1+7+1] (NRSF, XBR)	EXP032270	None	GEO:GSM1192174,GEO:GSE49014,PUBMED:23907384	Q13127	REST_HUMAN	GEO:GSE49014,PUBMED:23907384,GEO:GSM1192173,GEO:GSM1192172	3069	2874	3008	1936	77
1376	EXP000226	Homo sapiens	1.2.3.1.1	anti-TAL1 Ab (Santa Cruz sc-12984)		Leukemic T-cell	PEAKS033183	Tal-1 (SCL, TCL-5)	EXP000228	normal IgG (Santa Cruz sc-2028)	GEO:GSM614003,GEO:GSE25000,PUBMED:21179004	P17542	TAL1_HUMAN	GEO:GSM614005,GEO:GSE25000,PUBMED:21179004	2039	2337	3079	2063	583
1377	EXP010261	Mus musculus	2.3.3.50.1	CTCF_(SC-15914)	None	MEL	PEAKS035475	CTCF [11]	EXP010644	Input	GEO:GSM912896	Q61164	CTCF_MOUSE	GEO:GSM912905	83380	6776	71469	61215	91
1378	EXP010984	Mus musculus	2.2.1.1.1	GATA1_(SC-265)		Megakaryo	PEAKS035518	GATA-1 (GF-1, EryF1, NF-E1)	EXP010006	Input	GEO:GSM923586	P17679	GATA1_MOUSE	GEO:GSM923583,GEO:GSM946539		984	6150	6150	
1379	EXP000632	Mus musculus	2.3.3.50.1	CTCF		Mature B cell	PEAKS035307	CTCF [11]			GEO:GSM672402,GEO:GSE27214,PUBMED:21349430	Q61164	CTCF_MOUSE		37	5	872	872	
1380	EXP030465	Mus musculus	3.2.2.2.2	Dynabeads M-280 Streptavidin (Invitrogen)		mix C57BL/6 and 129	PEAKS035556	Pax-5	EXP030462	Dynabeads M-280 Streptavidin (Invitrogen)	GEO:GSE38046,GEO:GSM932929,GEO:GSM932928,GEO:GSM932925,GEO:GSM932927,PUBMED:22669466,GEO:GSM932926	Q02650	PAX5_MOUSE	GEO:GSE38046,GEO:GSM932933,PUBMED:22669466,GEO:GSM932932	37183	421	10954	10774	
1381	EXP000072	Homo sapiens	6.1.1.2.1	anti p65	TA	HeLa B2	PEAKS033215	NF-&#954;B p65 (RelA)			GEO:GSM604657,GEO:GSE24518,PUBMED:21750107	Q04206	TF65_HUMAN		1715	4435	4598	4598	2459
1382	EXP010043	Homo sapiens	2.3.3.50.1	CTCF	None	SK-N-SH_RA	PEAKS033443	CTCF [11]	EXP010815	Input	GEO:GSM749667,GEO:GSM749693	P49711	CTCF_HUMAN	GEO:GSM945317,GEO:GSM749700	63954	15988	78862	78862	27504
1383	EXP030864	Mus musculus	3.1.5.3.1	LHX2		CD-1	PEAKS035667	Lhx2 (LH-2)	EXP030861	none	GEO:GSM1167210,GEO:GSE48068,PUBMED:24012369	Q9Z0S2	LHX2_MOUSE	GEO:GSM1167209,GEO:GSE48068,PUBMED:24012369	406	15231	14577	14577	
1384	EXP031832	Mus musculus	1.1.8.1.2	Sc-150	3 hours after partial hepatectomy	C57BL6/J	PEAKS036134	C/EBP&#946; (NF-IL6-1)	EXP031822	IgG	GEO:GSM1037666,GEO:GSE42321,PUBMED:23403033	P28033	CEBPB_MOUSE	GEO:GSM1037681,GEO:GSE42321,PUBMED:23403033	51856	16763	65411	65411	8568
1385	EXP030639	Homo sapiens	6.2.1.0.3	STAT3 (Santa Cruz, sc-482X)		SU-DHL6	PEAKS034548	STAT3	EXP030630	none	GEO:GSM1227211,GEO:GSE50723,PUBMED:24142927	P40763	STAT3_HUMAN	GEO:GSM1227220,GEO:GSE50723,PUBMED:24142927	1636	88	3885	0	3
