0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
29	EXP032484	Mus musculus	2.1.3.1.1	RXRa		Liver	PEAKS036431	RXR&#945; (NR2B1)	EXP032481		GEO:GSM1299600,GEO:GSE53736	P28700	RXRA_MOUSE	GEO:GSM1299604,GEO:GSE53736	57935	53322	65655	65655	97121
30	EXP000232	Homo sapiens	2.1.1.2.1	sc-8005	E2	MCF7, tamoxifen resistance	PEAKS033084	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM640422,GEO:GSE26083,PUBMED:21167036	P03372	ESR1_HUMAN		5413	9097	7982	7982	1056
31	EXP032793	Mus musculus	2.1.2.4.1	VDR (Santa Cruz, C-20, sc-1008, lot# A0912)	ethanol vehicle	MC3T3-E1	PEAKS036547	VDR (NR1I1)			GEO:GSM1027472,GEO:GSE51513,PUBMED:24891508	P48281	VDR_MOUSE		3852	23478	13761	13761	45281
32	EXP031190	Mus musculus	1.2.2.1.1	two MyoD antibody raised in rabbits by our lab (6196 and 6975) and previously described (Tapscott et al., 1988)		P19 cells	PEAKS035793	MyoD	EXP031189	preimmune serum	GEO:GSM857390,GEO:GSE34906,PUBMED:22445365	P10085	MYOD1_MOUSE	GEO:GSM857388,GEO:GSE34906,PUBMED:22445365	35481	11391	37749	37749	
33	EXP010435	Homo sapiens	1.2.6.5.1	c-Myc	vehicle	MCF-7	PEAKS033652	c-Myc	EXP010288	Input	GEO:GSM822301	P01106	MYC_HUMAN	GEO:GSM822283	51475	3353	45503	40429	
34	EXP031861	Homo sapiens	6.1.1.2.1	NF-?B p65 (Santa Cruz sc-372)	no treat	fetal lung fibroblast	PEAKS034868	NF-&#954;B p65 (RelA)	EXP031858	no	GEO:GSM1055810,GEO:GSE43070,PUBMED:24141950	Q04206	TF65_HUMAN	GEO:GSM1055808,GEO:GSE43070,PUBMED:24141950	824	2902	4659	4511	1124
35	EXP000728	Homo sapiens	2.1.1.1.4	AR	10nm R	LnCaP	PEAKS033389	Androgen receptor (AR) (NR3C4)			GEO:GSM353641,GEO:GSE14092,PUBMED:20478527	P10275	ANDR_HUMAN		2600	2677	6676	6676	204
36	EXP031130	Mus musculus	3.1.4.2.1	ab19867	all-trans retinoic acid (RA)	P19.6	PEAKS035769	Meis1	EXP031129	none	GEO:GSM819083,GEO:GSE33067,PUBMED:22730288	Q60954	MEIS1_MOUSE	GEO:GSM821510,GEO:GSE33067,PUBMED:22730288	49389	82434	98897	98897	93003
37	EXP031132	Mus musculus	2.6.1.0.3	Anti-Tet1	all-trans retinoic acid (RA)	P19.6	PEAKS035771	TET1 (CXXC6, LCX)	EXP031129	none	GEO:GSM941681,GEO:GSE33067,PUBMED:22730288	Q3URK3	TET1_MOUSE	GEO:GSM821510,GEO:GSE33067,PUBMED:22730288	18114	65586	84264	84264	118199
38	EXP000670	Homo sapiens	2.2.1.1.3	GATA3		MCF-7	PEAKS033118	GATA-3			GEO:GSM720423,GEO:GSE29073,PUBMED:21878914	P23771	GATA3_HUMAN		16048	27622	22739	22739	14852
39	EXP000481	Mus musculus	2.3.3.50.1	07-729 (Upstate)		Embryonic stem cells	PEAKS035186	CTCF [11]	EXP000488	sc-8334	GEO:GSM288351,GEO:GSE11431,PUBMED:18555785	Q61164	CTCF_MOUSE	GEO:GSM288358,GEO:GSE11431,PUBMED:18555785	42806	32019	54824	54824	24593
40	EXP011165	Homo sapiens	3.6.1.0.2	TEAD4_(SC-101184)	None	ECC-1	PEAKS034012	TEF-3 (TEAD-4, TCF-13L1)	EXP010856	RevXlinkChromatin	GEO:GSM1010885	Q15561	TEAD4_HUMAN	GEO:GSM1010874	30226	7067	35437	35437	7352
41	EXP010116	Homo sapiens	2.3.3.50.1	CTCF	None	WERI-Rb-1	PEAKS033482	CTCF [11]	EXP010397	Input	GEO:GSM749679,GEO:GSM749768	P49711	CTCF_HUMAN	GEO:GSM749766	70146	10414	72641	72641	33343
42	EXP010750	Homo sapiens	1.1.2.1.3	FOSL1_(SC-183)	None	K562	PEAKS033818	Fra-1	EXP010671	RevXlinkChromatin	GEO:GSM803439	P15407	FOSL1_HUMAN	GEO:GSM803468	13339	1905	7936	5195	425
43	EXP032431	Mus musculus	6.1.3.0.1	anti-NFATc1		Telogen quiescent hair follicle stem cells	PEAKS036406	NFATc1			GEO:GSM1263200,GEO:GSE52328,PUBMED:24282298	O88942	NFAC1_MOUSE		17589	1014904	109694	109694	904191
44	EXP010001	Homo sapiens	3.1.2.12.1	NANOG_(SC-33759)	None	H1-hESC	PEAKS033418	NANOG	EXP010428	RevXlinkChromatin	GEO:GSM803437	Q9H9S0	NANOG_HUMAN	GEO:GSM803339	22057	5155	58916	58916	2946
45	EXP000570	Homo sapiens	3.5.1.6.3	anti-BAF155 (H-76), Santa Cruz Biotechnology, sc-10756		HeLa S3 cells (ATCC/National Cell Culture Center)	PEAKS033063	SMARCC1 (BAF155)			GEO:GSM601400,GEO:GSE24397,PUBMED:21408204	Q92922	SMRC1_HUMAN		6650	46743	28588	28588	38141
46	EXP032250	Mus musculus	6.1.1.2.1	p65 (Santa Cruz sc-372)	Kdo2 Lipid A (KLA) 24h	Macrophage	PEAKS036313	NF-&#954;B p65 (RelA)	EXP032240		GEO:GSM1183976,GEO:GSE48759,PUBMED:23932714	Q04207	TF65_MOUSE	GEO:GSM1184041,GEO:GSE48759,PUBMED:23932714		9	157	157	1
47	EXP031441	Homo sapiens	1.2.3.1.1	sc-12984	2-trimester fetal liver	CD34+ HSPC-derived proerythroblasts	PEAKS034759	Tal-1 (SCL, TCL-5)	EXP031438	none	GEO:GSM908054,GEO:GSE36985,PUBMED:23041383	P17542	TAL1_HUMAN	GEO:GSM908072,GEO:GSE36985,PUBMED:23041383	1886	11	2763	0	1
48	EXP000432	Homo sapiens	3.5.2.1.6	FLAG(Sigma, cat# F1804, lot# 080M6035)		RWPE-1	PEAKS033227	ERG	EXP000429	FLAG(Sigma, cat# F1804, lot# 080M6035)	GEO:GSM738823,GEO:GSE29808,PUBMED:22012618	P11308	ERG_HUMAN	GEO:GSM738820,GEO:GSE29808,PUBMED:22012618	254	8987	6557	2379	5
49	EXP031629	Mus musculus	2.3.3.50.1	CTCF (Millipore, 07-729, lot DAM1682158)		Undifferentiated mouse ES cells	PEAKS036025	CTCF [11]	EXP031627	IgG (Santa Cruz Biotechnology, Sc-2027)	GEO:GSM1212177,PUBMED:24121688,GEO:GSM970264,GEO:GSE39502	Q61164	CTCF_MOUSE	GEO:GSM1212178,PUBMED:24121688,GEO:GSM970265,GEO:GSE39502	25924	14936	30935	30935	
50	EXP031456	Mus musculus	1.2.6.5.1	Clontech, 632460	conconavalin for 14 hours	Resting T cells	PEAKS035961	c-Myc	EXP031451	Santa Cruz SC-2025	GEO:GSM914085,GEO:GSE37229,PUBMED:23021216	P01108	MYC_MOUSE	GEO:GSM914086,GEO:GSE37229,PUBMED:23021216	9	12789	2519	0	1
51	EXP000875	Homo sapiens	2.2.1.1.6	GATA6 (Santa Cruz 7244 and Santa Cruz 9055)	proliferating cells	Caco-2	PEAKS033415	GATA-6	EXP000879	input	GEO:GSM575226,GEO:GSE23436,PUBMED:21074721	Q92908	GATA6_HUMAN	GEO:GSM575230,GEO:GSE23436,PUBMED:21074721	11927	14848	17061	17061	21514
52	EXP031530	Mus musculus	6.2.1.0.1	Santa Cruz Biotechnology, sc-592		bone marrow-derived macrophages (7th day of differentiation)	PEAKS036007	STAT1			GEO:GSM1022314,GEO:GSE38377,PUBMED:23332752	P42225	STAT1_MOUSE		1780	76389	2190	2190	48409
53	EXP032576	Homo sapiens	3.3.1.16.3	anti-FOXP3		CD4+CD25- expanded conventional T cells	PEAKS035039	FOXP3	EXP032559	none	GEO:GSM1056939,GEO:GSE43119,PUBMED:24671953	Q9BZS1	FOXP3_HUMAN	GEO:GSM1056958,GEO:GSE43119,PUBMED:24671953	106	2	1269	154	1
54	EXP000077	Homo sapiens	2.1.1.1.1	anti GR	DMSO	HeLa B2, p65 KO	PEAKS033217	Glucocorticoid receptor (GR) (NR3C1)			GEO:GSM604662,GEO:GSE24518,PUBMED:21750107	P04150	GCR_HUMAN		3441	26685	9157	9157	82731
