Model	Transcription factor	TF family
HXB7_HUMAN.H11MO.0.C	HOXB7	HOX-related factors{3.1.1}
HXB8_HUMAN.H11MO.0.C	HOXB8	HOX-related factors{3.1.1}
HXC9_HUMAN.H11MO.0.C	HOXC9	HOX-related factors{3.1.1}
IKZF1_HUMAN.H11MO.0.C	IKZF1	Factors with multiple dispersed zinc fingers{2.3.4}
INSM1_HUMAN.H11MO.0.C	INSM1	Factors with multiple dispersed zinc fingers{2.3.4}
IRF1_HUMAN.H11MO.0.A	IRF1	Interferon-regulatory factors{3.5.3}
IRF2_HUMAN.H11MO.0.A	IRF2	Interferon-regulatory factors{3.5.3}
IRF3_HUMAN.H11MO.0.B	IRF3	Interferon-regulatory factors{3.5.3}
IRF4_HUMAN.H11MO.0.A	IRF4	Interferon-regulatory factors{3.5.3}
IRF7_HUMAN.H11MO.0.C	IRF7	Interferon-regulatory factors{3.5.3}
IRF8_HUMAN.H11MO.0.B	IRF8	Interferon-regulatory factors{3.5.3}
IRF9_HUMAN.H11MO.0.C	IRF9	Interferon-regulatory factors{3.5.3}
ISL1_HUMAN.H11MO.0.A	ISL1	HD-LIM factors{3.1.5}
ITF2_HUMAN.H11MO.0.C	TCF4	E2A-related factors{1.2.1}
JUNB_HUMAN.H11MO.0.A	JUNB	Jun-related factors{1.1.1}
JUND_HUMAN.H11MO.0.A	JUND	Jun-related factors{1.1.1}
JUN_HUMAN.H11MO.0.A	JUN	Jun-related factors{1.1.1}
KAISO_HUMAN.H11MO.0.A	ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}
KLF12_HUMAN.H11MO.0.C	KLF12	Three-zinc finger Krüppel-related factors{2.3.1}
KLF15_HUMAN.H11MO.0.A	KLF15	Three-zinc finger Krüppel-related factors{2.3.1}
KLF1_HUMAN.H11MO.0.A	KLF1	Three-zinc finger Krüppel-related factors{2.3.1}
KLF3_HUMAN.H11MO.0.B	KLF3	Three-zinc finger Krüppel-related factors{2.3.1}
KLF4_HUMAN.H11MO.0.A	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF5_HUMAN.H11MO.0.A	KLF5	Three-zinc finger Krüppel-related factors{2.3.1}
KLF6_HUMAN.H11MO.0.A	KLF6	Three-zinc finger Krüppel-related factors{2.3.1}
KLF8_HUMAN.H11MO.0.C	KLF8	Three-zinc finger Krüppel-related factors{2.3.1}
KLF9_HUMAN.H11MO.0.C	KLF9	Three-zinc finger Krüppel-related factors{2.3.1}
LEF1_HUMAN.H11MO.0.A	LEF1	TCF-7-related factors{4.1.3}
LHX2_HUMAN.H11MO.0.A	LHX2	HD-LIM factors{3.1.5}
LHX3_HUMAN.H11MO.0.C	LHX3	HD-LIM factors{3.1.5}
LYL1_HUMAN.H11MO.0.A	LYL1	Tal-related factors{1.2.3}
MAFB_HUMAN.H11MO.0.B	MAFB	Maf-related factors{1.1.3}
MAFF_HUMAN.H11MO.0.B	MAFF	Maf-related factors{1.1.3}
MAFG_HUMAN.H11MO.0.A	MAFG	Maf-related factors{1.1.3}
MAFK_HUMAN.H11MO.0.A	MAFK	Maf-related factors{1.1.3}
MAF_HUMAN.H11MO.0.A	MAF	Maf-related factors{1.1.3}
MAX_HUMAN.H11MO.0.A	MAX	bHLH-ZIP factors{1.2.6}
MAZ_HUMAN.H11MO.0.A	MAZ	Factors with multiple dispersed zinc fingers{2.3.4}
MBD2_HUMAN.H11MO.0.B	MBD2	
MECP2_HUMAN.H11MO.0.C	MECP2	
MEF2A_HUMAN.H11MO.0.A	MEF2A	Regulators of differentiation{5.1.1}
MEF2B_HUMAN.H11MO.0.A	MEF2B	Regulators of differentiation{5.1.1}
MEF2C_HUMAN.H11MO.0.A	MEF2C	Regulators of differentiation{5.1.1}
MEF2D_HUMAN.H11MO.0.A	MEF2D	Regulators of differentiation{5.1.1}
MEIS1_HUMAN.H11MO.0.A	MEIS1	TALE-type homeo domain factors{3.1.4}
MEIS2_HUMAN.H11MO.0.B	MEIS2	TALE-type homeo domain factors{3.1.4}
MITF_HUMAN.H11MO.0.A	MITF	bHLH-ZIP factors{1.2.6}
MTF1_HUMAN.H11MO.0.C	MTF1	More than 3 adjacent zinc finger factors{2.3.3}
MXI1_HUMAN.H11MO.0.A	MXI1	bHLH-ZIP factors{1.2.6}
MYB_HUMAN.H11MO.0.A	MYB	Myb/SANT domain factors{3.5.1}
MYCN_HUMAN.H11MO.0.A	MYCN	bHLH-ZIP factors{1.2.6}
MYC_HUMAN.H11MO.0.A	MYC	bHLH-ZIP factors{1.2.6}
MYF6_HUMAN.H11MO.0.C	MYF6	MyoD / ASC-related factors{1.2.2}
MYOD1_HUMAN.H11MO.0.A	MYOD1	MyoD / ASC-related factors{1.2.2}
MYOG_HUMAN.H11MO.0.B	MYOG	MyoD / ASC-related factors{1.2.2}
MZF1_HUMAN.H11MO.0.B	MZF1	More than 3 adjacent zinc finger factors{2.3.3}
NANOG_HUMAN.H11MO.0.A	NANOG	NK-related factors{3.1.2}
NDF1_HUMAN.H11MO.0.A	NEUROD1	Tal-related factors{1.2.3}
NDF2_HUMAN.H11MO.0.B	NEUROD2	Tal-related factors{1.2.3}
NF2L1_HUMAN.H11MO.0.C	NFE2L1	Jun-related factors{1.1.1}
NF2L2_HUMAN.H11MO.0.A	NFE2L2	Jun-related factors{1.1.1}
NFAC1_HUMAN.H11MO.0.B	NFATC1	NFAT-related factors{6.1.3}
NFAC2_HUMAN.H11MO.0.B	NFATC2	NFAT-related factors{6.1.3}
NFAC3_HUMAN.H11MO.0.B	NFATC3	NFAT-related factors{6.1.3}
NFAC4_HUMAN.H11MO.0.C	NFATC4	NFAT-related factors{6.1.3}
NFE2_HUMAN.H11MO.0.A	NFE2	Jun-related factors{1.1.1}
NFIA_HUMAN.H11MO.0.C	NFIA	Nuclear factor 1{7.1.2}
NFIC_HUMAN.H11MO.0.A	NFIC	Nuclear factor 1{7.1.2}
NFKB1_HUMAN.H11MO.1.B	NFKB1	NF-kappaB-related factors{6.1.1}
NFKB2_HUMAN.H11MO.0.B	NFKB2	NF-kappaB-related factors{6.1.1}
NFYA_HUMAN.H11MO.0.A	NFYA	Heteromeric CCAAT-binding factors{4.2.1}
NFYB_HUMAN.H11MO.0.A	NFYB	Heteromeric CCAAT-binding factors{4.2.1}
NFYC_HUMAN.H11MO.0.A	NFYC	Heteromeric CCAAT-binding factors{4.2.1}
NKX21_HUMAN.H11MO.0.A	NKX2-1	NK-related factors{3.1.2}
NKX25_HUMAN.H11MO.0.B	NKX2-5	NK-related factors{3.1.2}
NKX28_HUMAN.H11MO.0.C	NKX2-8	NK-related factors{3.1.2}
NKX31_HUMAN.H11MO.0.C	NKX3-1	NK-related factors{3.1.2}
NKX32_HUMAN.H11MO.0.C	NKX3-2	NK-related factors{3.1.2}
NKX61_HUMAN.H11MO.0.B	NKX6-1	NK-related factors{3.1.2}
NOBOX_HUMAN.H11MO.0.C	NOBOX	Paired-related HD factors{3.1.3}
NR1D1_HUMAN.H11MO.0.B	NR1D1	Thyroid hormone receptor-related factors (NR1){2.1.2}
NR1H3_HUMAN.H11MO.0.B	NR1H3	Thyroid hormone receptor-related factors (NR1){2.1.2}
NR1H4_HUMAN.H11MO.0.B	NR1H4	Thyroid hormone receptor-related factors (NR1){2.1.2}
NR1I2_HUMAN.H11MO.0.C	NR1I2	Thyroid hormone receptor-related factors (NR1){2.1.2}
